temperature,humidity,wind_speed,precipitation,cloud_cover,atmospheric_pressure,season,visibility,location,weather
,94.0,15.0,54.0,overcast,994.51,Winter,1.5,mountain,Snowy
27.0,59.0,6.0,0.0,clear,1015.53,Autumn,7.0,coastal,Sunny
1.0,86.0,0.5,72.0,partly cloudy,994.27,Winter,4.0,inland,Snowy
23.0,57.0,1.0,14.0,clear,1018.4,Spring,9.0,inland,Sunny
32.0,61.0,11.0,26.0,overcast,1007.59,Summer,6.5,coastal,Cloudy
39.0,22.0,4.0,13.0,partly cloudy,1016.5,Spring,5.5,inland,Sunny
32.0,86.0,12.0,65.0,overcast,990.41,Spring,4.0,coastal,Rainy
44.0,73.0,23.0,77.0,partly cloudy,1014.05,Autumn,6.5,mountain,Cloudy
,79.0,10.5,11.0,overcast,1004.03,Spring,7.5,inland,Cloudy
1.0,84.0,1.0,72.0,overcast,989.89,Winter,4.5,mountain,Snowy
13.0,53.0,8.5,,cloudy,1005.78,Spring,10.5,mountain,Cloudy
,60.0,10.5,,partly cloudy,881.44,Summer,3.0,inland,Cloudy
25.0,68.0,4.0,32.0,partly cloudy,1009.22,Summer,5.5,coastal,Cloudy
32.0,50.0,9.5,4.0,clear,1014.8,Autumn,6.5,coastal,Sunny
43.0,63.0,2.0,16.0,clear,1026.88,Spring,5.0,mountain,Sunny
21.0,58.0,0.5,12.0,partly cloudy,1012.28,Summer,6.5,mountain,Cloudy
,101.0,18.0,97.0,partly cloudy,1023.5,Autumn,3.0,coastal,Sunny
-7.0,92.0,7.5,56.0,partly cloudy,995.37,Winter,1.5,inland,Snowy
,63.0,0.5,11.0,partly cloudy,1015.01,Spring,6.0,mountain,Cloudy
67.0,86.0,8.0,,clear,1029.38,Spring,5.5,inland,Sunny
-5.0,68.0,16.0,,overcast,992.35,Winter,3.5,mountain,Snowy
23.0,73.0,10.0,90.0,partly cloudy,1006.81,Autumn,2.0,mountain,Rainy
21.0,71.0,5.0,,partly cloudy,1000.06,Spring,4.5,coastal,Rainy
48.0,103.0,21.0,92.0,partly cloudy,1013.95,Summer,2.5,inland,Cloudy
-11.0,48.0,8.0,56.0,overcast,885.49,Autumn,3.5,inland,Cloudy
,26.0,5.5,,cloudy,1010.06,Spring,6.0,coastal,Cloudy
,69.0,3.5,,overcast,980.46,Winter,1.5,inland,Snowy
,,,,,,,,,Cloudy
4.0,67.0,0.0,72.0,overcast,998.78,Winter,4.5,mountain,Snowy
28.0,47.0,6.0,11.0,clear,1029.11,Winter,6.0,mountain,Sunny
-7.0,69.0,14.5,74.0,partly cloudy,986.83,Winter,3.5,inland,Snowy
40.0,64.0,8.0,5.0,partly cloudy,1010.18,Autumn,5.0,inland,Sunny
,62.0,0.5,59.0,overcast,980.81,Winter,4.0,inland,Snowy
,76.0,1.0,,partly cloudy,1006.98,Spring,7.0,coastal,Cloudy
10.0,70.0,17.0,57.0,partly cloudy,994.93,Autumn,5.0,mountain,Rainy
18.0,88.0,7.0,65.0,overcast,995.42,Summer,2.0,coastal,Rainy
29.0,96.0,11.5,,partly cloudy,1013.23,Spring,1.0,inland,Rainy
41.0,55.0,4.0,11.0,clear,1015.43,Winter,6.5,coastal,Sunny
2.0,89.0,14.5,65.0,overcast,995.91,Winter,4.0,mountain,Snowy
36.0,37.0,5.5,0.0,clear,1024.56,Autumn,9.5,coastal,Sunny
36.0,69.0,3.5,,partly cloudy,1011.37,Summer,5.5,mountain,Sunny
33.0,74.0,7.0,55.0,partly cloudy,1016.64,Summer,2.5,inland,Rainy
-6.0,82.0,6.5,,overcast,983.94,Winter,2.5,inland,Snowy
-1.0,99.0,12.5,65.0,overcast,992.26,Winter,4.0,mountain,Snowy
2.0,76.0,4.0,64.0,overcast,997.51,Winter,2.5,inland,Snowy
2.0,94.0,16.0,53.0,partly cloudy,994.07,Winter,2.0,mountain,Snowy
32.0,80.0,15.5,61.0,overcast,1012.02,Winter,4.0,coastal,Rainy
31.0,42.0,5.5,,partly cloudy,1017.8,Winter,5.5,inland,Sunny
29.0,90.0,18.5,57.0,overcast,1004.04,Winter,3.5,coastal,Rainy
36.0,57.0,6.0,,clear,1029.06,Winter,10.0,inland,Sunny
38.0,26.0,6.5,15.0,clear,1013.49,Winter,9.0,inland,Sunny
4.0,67.0,2.0,87.0,partly cloudy,989.93,Winter,2.5,mountain,Snowy
,86.0,18.0,65.0,overcast,1001.12,Winter,2.5,inland,Rainy
,0.0,0.5,37.0,overcast,993.32,Winter,4.5,inland,Sunny
,82.0,18.5,88.0,overcast,989.19,Winter,1.0,mountain,Snowy
,0.0,7.5,,partly cloudy,1004.39,Spring,7.5,coastal,Cloudy
18.0,95.0,6.5,70.0,overcast,1001.9,Autumn,4.0,coastal,Rainy
20.0,51.0,1.0,5.0,clear,1021.11,Winter,5.0,coastal,Sunny
,,,,,,,,,Snowy
-6.0,24.0,9.0,47.0,partly cloudy,1047.84,Autumn,6.5,mountain,Sunny
-6.0,66.0,7.0,95.0,overcast,992.79,Winter,3.0,inland,Snowy
22.0,91.0,11.0,55.0,overcast,1001.55,Summer,4.5,mountain,Rainy
,22.0,15.0,,overcast,863.76,Summer,6.0,mountain,Sunny
,90.0,10.0,62.0,overcast,995.39,Winter,5.0,mountain,Snowy
20.0,65.0,3.0,,clear,1013.44,Spring,6.0,coastal,Sunny
25.0,39.0,6.5,4.0,clear,1020.51,Autumn,9.5,mountain,Sunny
44.0,58.0,3.5,,clear,1027.14,Winter,8.5,mountain,Sunny
,74.0,9.0,,overcast,1004.9,Spring,1.5,coastal,Rainy
22.0,89.0,6.0,76.0,overcast,1015.07,Autumn,2.0,inland,Rainy
20.0,24.0,5.0,,partly cloudy,1015.21,Spring,7.0,coastal,Sunny
12.0,60.0,8.0,32.0,overcast,1017.74,Spring,8.0,inland,Cloudy
,31.0,8.0,,cloudy,861.2,Winter,4.0,mountain,Sunny
34.0,42.0,3.5,18.0,clear,1027.21,Summer,7.5,coastal,Sunny
39.0,53.0,2.0,,clear,1023.73,Winter,9.0,mountain,Sunny
40.0,54.0,7.5,,clear,1016.0,Spring,6.0,mountain,Sunny
-7.0,78.0,22.5,,overcast,991.29,Winter,1.5,inland,Snowy
-2.0,74.0,6.0,,overcast,986.08,Winter,3.0,inland,Snowy
-7.0,66.0,12.5,78.0,overcast,991.7,Winter,5.0,inland,Snowy
20.0,67.0,13.0,,overcast,1010.2,Summer,5.0,inland,Cloudy
63.0,70.0,22.5,81.0,partly cloudy,1015.23,Summer,8.5,mountain,Cloudy
,25.0,2.5,12.0,partly cloudy,1012.08,Spring,6.5,inland,Sunny
-2.0,101.0,12.0,75.0,overcast,989.34,Winter,3.5,inland,Snowy
-1.0,63.0,13.5,91.0,overcast,997.24,Winter,5.0,inland,Snowy
22.0,74.0,18.5,106.0,overcast,990.13,Autumn,0.5,coastal,Rainy
22.0,56.0,0.0,,clear,1019.52,Spring,9.5,mountain,Sunny
-8.0,88.0,11.5,52.0,overcast,984.01,Winter,2.0,inland,Snowy
-3.0,0.0,1.5,62.0,overcast,987.14,Winter,3.5,mountain,Snowy
,103.0,2.0,,overcast,1015.23,Winter,5.5,mountain,Cloudy
11.0,79.0,13.5,59.0,partly cloudy,995.65,Autumn,2.0,coastal,Rainy
24.0,94.0,17.0,,overcast,997.64,Spring,1.0,mountain,Rainy
32.0,54.0,11.0,,overcast,1009.87,Spring,7.0,inland,Cloudy
44.0,65.0,3.0,19.0,partly cloudy,1023.68,Spring,8.0,coastal,Sunny
,,,,,,,,,Snowy
41.0,46.0,4.0,17.0,clear,1029.29,Summer,9.5,inland,Sunny
24.0,54.0,3.0,23.0,partly cloudy,1013.48,Summer,7.5,inland,Cloudy
26.0,70.0,9.5,,overcast,1012.6,Autumn,3.0,inland,Rainy
4.0,90.0,17.5,,overcast,985.0,Winter,2.0,inland,Snowy
,28.0,6.5,15.0,partly cloudy,1024.17,Winter,8.0,coastal,Sunny
32.0,78.0,8.0,,overcast,993.87,Autumn,2.0,inland,Rainy
13.0,67.0,11.0,,overcast,1018.08,Autumn,6.0,inland,Cloudy
23.0,54.0,6.0,,clear,1013.62,Summer,6.0,coastal,Sunny
,90.0,19.0,,overcast,1013.37,Spring,1.0,coastal,Rainy
20.0,77.0,8.5,97.0,overcast,998.6,Autumn,3.5,coastal,Rainy
-2.0,97.0,13.0,95.0,overcast,999.59,Winter,4.5,inland,Snowy
28.0,45.0,7.5,,clear,1019.2,Spring,5.0,inland,Sunny
,87.0,6.0,,partly cloudy,1002.02,Winter,1.5,coastal,Rainy
34.0,61.0,1.5,48.0,overcast,1004.8,Summer,6.5,mountain,Cloudy
34.0,36.0,3.0,2.0,clear,1023.66,Spring,9.0,coastal,Sunny
32.0,51.0,2.0,7.0,partly cloudy,1019.44,Summer,8.0,mountain,Sunny
15.0,73.0,6.5,36.0,partly cloudy,1001.9,Winter,6.5,coastal,Cloudy
43.0,23.0,5.0,,clear,1019.11,Autumn,6.5,inland,Sunny
25.0,69.0,2.0,29.0,partly cloudy,1014.87,Autumn,5.0,coastal,Cloudy
-7.0,85.0,16.5,86.0,overcast,986.51,Winter,4.0,inland,Snowy
,35.0,2.0,,overcast,974.79,Spring,4.5,mountain,Cloudy
32.0,96.0,15.0,66.0,overcast,992.73,Autumn,4.0,mountain,Rainy
20.0,0.0,9.5,89.0,overcast,1002.04,Autumn,4.0,inland,Rainy
30.0,65.0,12.5,88.0,overcast,996.55,Autumn,3.5,inland,Rainy
4.0,68.0,14.5,55.0,partly cloudy,983.03,Winter,5.0,mountain,Snowy
,80.0,2.0,71.0,clear,1019.3,Spring,2.5,coastal,Sunny
,0.0,8.5,14.0,clear,1021.12,Spring,5.5,coastal,Sunny
22.0,53.0,5.5,13.0,overcast,1012.65,Spring,5.0,inland,Cloudy
21.0,43.0,0.0,,clear,1015.69,Summer,7.0,coastal,Sunny
,,,86.0,,992.27,,,,Rainy
34.0,74.0,9.0,31.0,overcast,1014.22,Spring,8.5,coastal,Cloudy
31.0,45.0,2.0,,clear,1025.05,Winter,8.0,coastal,Sunny
5.0,81.0,42.5,93.0,overcast,981.93,Winter,4.5,mountain,Snowy
27.0,79.0,2.0,,overcast,1010.62,Winter,7.5,mountain,Cloudy
,109.0,32.0,71.0,overcast,990.96,Winter,2.0,inland,Snowy
29.0,70.0,12.0,26.0,partly cloudy,1004.95,Autumn,7.0,coastal,Cloudy
-9.0,80.0,26.0,108.0,overcast,982.94,Winter,2.5,inland,Snowy
65.0,108.0,24.5,101.0,overcast,1004.05,Spring,2.5,mountain,Rainy
28.0,59.0,5.5,,partly cloudy,1018.25,Spring,8.5,inland,Cloudy
,55.0,0.5,1.0,clear,1012.65,Winter,9.0,coastal,Sunny
-4.0,96.0,3.0,88.0,partly cloudy,994.41,Winter,4.0,mountain,Snowy
20.0,37.0,9.0,,partly cloudy,1017.33,Winter,8.0,inland,Sunny
24.0,64.0,8.0,,partly cloudy,1026.0,Summer,7.0,inland,Sunny
,0.0,0.0,,clear,1011.8,Summer,6.5,inland,Sunny
11.0,53.0,1.5,37.0,partly cloudy,1002.88,Winter,5.5,mountain,Cloudy
-9.0,86.0,7.5,84.0,overcast,984.42,Winter,2.5,mountain,Snowy
43.0,0.0,7.5,15.0,partly cloudy,1018.29,Winter,9.5,inland,Sunny
34.0,62.0,11.5,70.0,overcast,865.18,Summer,6.5,inland,Sunny
24.0,72.0,21.0,73.0,partly cloudy,1011.05,Autumn,9.0,coastal,Cloudy
-5.0,62.0,15.0,,overcast,997.01,Winter,4.0,mountain,Snowy
21.0,77.0,1.5,24.0,overcast,1012.46,Summer,7.5,mountain,Cloudy
42.0,87.0,17.5,,partly cloudy,1016.17,Summer,8.0,inland,Cloudy
19.0,93.0,10.5,,overcast,1005.84,Autumn,1.0,inland,Rainy
-8.0,82.0,15.0,97.0,overcast,982.82,Winter,1.0,inland,Snowy
-9.0,65.0,13.5,85.0,partly cloudy,986.87,Winter,2.0,mountain,Snowy
43.0,48.0,1.0,4.0,clear,1026.68,Autumn,9.0,coastal,Sunny
24.0,0.0,1.5,8.0,clear,1011.28,Spring,5.5,coastal,Sunny
-10.0,69.0,4.5,76.0,overcast,985.12,Winter,4.5,mountain,Snowy
,36.0,0.0,6.0,clear,1025.66,Summer,9.0,mountain,Sunny
25.0,0.0,15.5,85.0,overcast,1008.85,Summer,3.5,inland,Rainy
4.0,94.0,11.5,60.0,overcast,993.01,Winter,4.0,inland,Snowy
23.0,79.0,7.5,59.0,overcast,1013.36,Summer,1.0,mountain,Rainy
16.0,64.0,11.5,44.0,partly cloudy,1004.43,Spring,6.0,coastal,Cloudy
,80.0,11.5,82.0,partly cloudy,1009.35,Summer,3.5,coastal,Rainy
29.0,90.0,5.5,72.0,partly cloudy,991.74,Winter,4.0,inland,Rainy
22.0,98.0,16.5,59.0,partly cloudy,1008.4,Autumn,2.5,coastal,Rainy
31.0,57.0,0.5,31.0,overcast,1014.71,Autumn,5.5,coastal,Cloudy
13.0,78.0,3.0,48.0,overcast,1009.76,Summer,8.5,mountain,Cloudy
28.0,58.0,6.5,13.0,clear,1020.6,Autumn,8.5,coastal,Sunny
-5.0,60.0,16.5,86.0,overcast,991.61,Winter,3.0,inland,Snowy
16.0,85.0,17.5,,partly cloudy,990.29,Summer,3.5,inland,Rainy
,61.0,18.5,68.0,overcast,980.99,Winter,3.0,mountain,Snowy
15.0,65.0,0.0,,partly cloudy,1011.26,Summer,8.5,coastal,Cloudy
,86.0,12.0,80.0,overcast,1012.5,Autumn,2.5,inland,Rainy
,91.0,13.5,100.0,partly cloudy,1010.07,Summer,1.0,inland,Rainy
34.0,0.0,0.5,,partly cloudy,1007.94,Winter,5.5,coastal,Cloudy
-2.0,82.0,11.5,,partly cloudy,994.22,Winter,3.0,inland,Snowy
-6.0,79.0,9.5,78.0,overcast,982.01,Winter,5.0,mountain,Snowy
16.0,98.0,17.0,,partly cloudy,998.88,Winter,2.5,coastal,Rainy
,84.0,12.0,,overcast,998.65,Winter,1.0,mountain,Snowy
,63.0,2.0,21.0,partly cloudy,1000.26,Spring,7.5,inland,Cloudy
32.0,78.0,6.0,62.0,partly cloudy,1005.93,Autumn,1.0,coastal,Rainy
31.0,30.0,9.0,0.0,partly cloudy,1014.06,Autumn,9.5,coastal,Sunny
21.0,94.0,8.5,74.0,partly cloudy,998.83,Winter,5.0,coastal,Rainy
23.0,64.0,3.0,35.0,partly cloudy,1007.27,Winter,5.5,mountain,Cloudy
13.0,76.0,1.5,26.0,overcast,1010.53,Autumn,6.5,inland,Cloudy
13.0,65.0,6.5,87.0,overcast,1015.51,Winter,5.0,coastal,Rainy
24.0,68.0,9.5,,partly cloudy,1002.0,Autumn,3.5,coastal,Rainy
-4.0,97.0,15.0,51.0,overcast,994.13,Winter,2.0,inland,Snowy
,56.0,13.0,19.0,partly cloudy,1006.87,Winter,6.5,coastal,Cloudy
-6.0,74.0,30.0,81.0,overcast,983.0,Winter,4.5,mountain,Snowy
,53.0,9.5,,partly cloudy,1019.37,Winter,7.5,mountain,Cloudy
33.0,75.0,9.0,,partly cloudy,1005.74,Winter,7.0,mountain,Cloudy
,103.0,6.5,86.0,clear,1016.83,Summer,2.5,inland,Sunny
-9.0,73.0,14.5,75.0,overcast,990.27,Winter,2.0,mountain,Snowy
34.0,56.0,10.5,14.0,partly cloudy,1019.51,Winter,9.0,coastal,Cloudy
33.0,78.0,25.5,98.0,overcast,1001.14,Autumn,2.5,mountain,Rainy
44.0,105.0,15.5,,clear,1027.02,Spring,11.5,inland,Sunny
28.0,22.0,8.5,12.0,partly cloudy,1022.09,Autumn,6.5,mountain,Sunny
,85.0,10.0,107.0,clear,1020.87,Autumn,2.5,coastal,Sunny
,68.0,8.5,18.0,partly cloudy,1022.23,Spring,9.5,mountain,Sunny
,85.0,3.5,91.0,partly cloudy,1002.21,Summer,1.0,inland,Cloudy
44.0,34.0,7.0,,clear,1012.12,Spring,9.5,coastal,Sunny
25.0,88.0,13.0,,overcast,1000.0,Winter,1.0,mountain,Rainy
29.0,30.0,5.0,18.0,clear,1024.95,Autumn,9.0,inland,Sunny
,83.0,6.5,55.0,partly cloudy,981.21,Winter,1.0,inland,Snowy
,76.0,12.5,41.0,overcast,837.31,Spring,15.0,coastal,Rainy
,68.0,4.0,,overcast,1006.03,Spring,7.5,inland,Cloudy
-1.0,75.0,1.5,,partly cloudy,997.3,Winter,2.0,mountain,Snowy
26.0,65.0,2.0,36.0,partly cloudy,1018.65,Autumn,6.0,inland,Cloudy
18.0,99.0,6.0,54.0,partly cloudy,1000.26,Autumn,5.0,coastal,Rainy
35.0,20.0,9.5,,clear,1017.75,Winter,6.5,coastal,Sunny
,58.0,7.5,13.0,partly cloudy,1009.57,Autumn,8.5,inland,Cloudy
,,,,,,,,,Sunny
,66.0,11.0,,overcast,1012.36,Winter,6.5,mountain,Cloudy
0.0,67.0,13.5,,overcast,985.17,Winter,5.0,mountain,Snowy
,,14.0,,partly cloudy,,,,,Rainy
29.0,68.0,17.5,63.0,partly cloudy,1017.96,Summer,4.5,coastal,Rainy
44.0,48.0,4.0,,partly cloudy,1027.7,Autumn,5.5,mountain,Sunny
34.0,59.0,4.5,31.0,overcast,1016.17,Summer,6.5,mountain,Cloudy
-7.0,66.0,17.5,,partly cloudy,994.99,Winter,5.0,inland,Snowy
27.0,75.0,5.0,19.0,partly cloudy,1012.9,Winter,5.5,coastal,Cloudy
-10.0,27.0,3.0,,cloudy,996.43,Winter,1.0,coastal,Cloudy
39.0,29.0,4.5,1.0,clear,1020.96,Summer,8.5,coastal,Sunny
30.0,49.0,7.0,13.0,clear,1029.29,Spring,8.5,inland,Sunny
21.0,58.0,6.0,26.0,partly cloudy,1017.49,Summer,7.0,mountain,Cloudy
24.0,50.0,5.0,18.0,clear,1020.65,Summer,8.5,inland,Sunny
-13.0,34.0,9.5,15.0,cloudy,940.59,Summer,16.5,coastal,Snowy
-3.0,68.0,10.5,60.0,overcast,980.49,Winter,4.5,mountain,Snowy
39.0,34.0,3.0,14.0,clear,1022.95,Summer,6.0,coastal,Sunny
28.0,59.0,7.0,12.0,partly cloudy,1029.83,Autumn,8.0,mountain,Sunny
-9.0,81.0,2.0,57.0,overcast,994.24,Winter,1.0,inland,Snowy
42.0,20.0,5.5,40.0,overcast,1058.82,Autumn,15.0,inland,Snowy
26.0,0.0,9.0,27.0,partly cloudy,1010.57,Summer,6.5,inland,Cloudy
33.0,65.0,10.0,48.0,partly cloudy,1001.11,Autumn,7.0,mountain,Cloudy
12.0,62.0,7.0,82.0,cloudy,1173.16,Spring,0.5,inland,Snowy
-20.0,99.0,30.5,92.0,overcast,993.27,Winter,2.0,mountain,Snowy
,0.0,8.0,,overcast,1004.35,Spring,6.5,coastal,Cloudy
1.0,69.0,19.5,90.0,overcast,981.82,Winter,3.5,inland,Snowy
20.0,88.0,17.0,62.0,overcast,1004.58,Winter,1.0,mountain,Rainy
11.0,68.0,3.5,31.0,partly cloudy,902.53,Winter,9.0,coastal,Cloudy
-10.0,92.0,4.0,73.0,overcast,980.32,Winter,3.0,mountain,Snowy
29.0,86.0,13.5,72.0,overcast,993.32,Spring,3.5,inland,Rainy
-4.0,90.0,8.0,92.0,overcast,997.91,Winter,4.0,inland,Snowy
,0.0,0.5,43.0,partly cloudy,1002.43,Summer,8.0,mountain,Cloudy
,24.0,8.5,,partly cloudy,870.06,Winter,15.5,inland,Cloudy
34.0,68.0,2.0,26.0,partly cloudy,1018.39,Winter,6.5,mountain,Cloudy
,23.0,0.5,7.0,partly cloudy,1021.68,Spring,10.0,coastal,Sunny
36.0,54.0,6.5,,clear,1016.25,Winter,8.5,inland,Sunny
-4.0,90.0,9.0,,overcast,989.63,Winter,1.0,mountain,Snowy
,70.0,0.5,,partly cloudy,1005.14,Autumn,5.0,mountain,Cloudy
-1.0,44.0,5.0,,cloudy,875.87,Autumn,16.5,mountain,Snowy
,98.0,35.5,96.0,overcast,982.31,Winter,0.5,mountain,Snowy
26.0,99.0,19.5,89.0,overcast,996.13,Summer,2.5,inland,Rainy
14.0,88.0,18.5,55.0,overcast,1010.7,Spring,1.5,mountain,Rainy
29.0,50.0,12.5,,overcast,1013.72,Autumn,8.5,coastal,Cloudy
-3.0,64.0,17.5,98.0,overcast,992.83,Winter,1.5,mountain,Snowy
,49.0,1.5,15.0,clear,1010.81,Autumn,9.5,coastal,Sunny
60.0,88.0,21.0,78.0,overcast,1009.94,Winter,8.5,coastal,Cloudy
16.0,85.0,7.0,96.0,overcast,995.5,Summer,2.0,coastal,Rainy
4.0,65.0,7.0,77.0,partly cloudy,980.37,Winter,3.5,mountain,Snowy
,81.0,15.5,68.0,overcast,995.69,Autumn,3.5,inland,Rainy
-2.0,67.0,9.5,,overcast,998.99,Winter,4.5,inland,Snowy
23.0,67.0,2.0,48.0,partly cloudy,1010.84,Spring,6.5,inland,Cloudy
34.0,84.0,6.0,53.0,overcast,1000.59,Winter,2.0,mountain,Rainy
,87.0,16.5,97.0,overcast,980.6,Winter,4.0,inland,Snowy
,77.0,1.5,74.0,overcast,999.69,Winter,1.5,mountain,Snowy
28.0,77.0,15.0,94.0,partly cloudy,1014.93,Summer,6.5,inland,Cloudy
,45.0,9.0,16.0,clear,1016.3,Winter,5.0,mountain,Sunny
-3.0,91.0,19.0,103.0,partly cloudy,982.83,Winter,5.5,inland,Snowy
30.0,78.0,9.0,82.0,overcast,1010.4,Summer,3.0,mountain,Rainy
,69.0,6.5,13.0,clear,1014.51,Winter,8.5,mountain,Sunny
11.0,85.0,7.0,56.0,overcast,1015.69,Spring,3.0,mountain,Rainy
17.0,65.0,13.5,95.0,overcast,1001.51,Winter,2.0,mountain,Rainy
31.0,78.0,10.0,95.0,partly cloudy,995.76,Spring,3.5,inland,Rainy
,,,,,,,,,Rainy
2.0,84.0,0.0,,overcast,994.41,Winter,3.0,inland,Snowy
22.0,87.0,9.5,52.0,overcast,996.79,Summer,4.0,inland,Rainy
-1.0,66.0,15.0,56.0,overcast,988.43,Winter,1.5,inland,Snowy
26.0,32.0,9.5,,clear,1017.0,Summer,6.5,coastal,Sunny
6.0,83.0,12.5,103.0,overcast,991.4,Winter,1.5,inland,Snowy
-8.0,65.0,9.5,62.0,overcast,989.99,Winter,4.0,inland,Snowy
,58.0,2.0,6.0,partly cloudy,1011.89,Spring,6.0,coastal,Sunny
20.0,51.0,12.5,45.0,partly cloudy,1019.45,Winter,6.0,mountain,Cloudy
14.0,42.0,10.5,83.0,cloudy,1078.65,Winter,10.0,mountain,Rainy
-2.0,88.0,5.5,77.0,overcast,988.18,Winter,4.0,mountain,Snowy
30.0,86.0,20.0,80.0,overcast,1015.09,Summer,4.5,coastal,Rainy
30.0,69.0,6.5,3.0,clear,1021.29,Summer,9.0,coastal,Sunny
24.0,0.0,14.5,78.0,partly cloudy,1004.06,Summer,3.5,inland,Rainy
24.0,42.0,2.5,1.0,partly cloudy,1019.33,Summer,6.0,mountain,Sunny
43.0,40.0,3.5,14.0,partly cloudy,1021.29,Autumn,6.0,inland,Sunny
,71.0,18.0,98.0,partly cloudy,1015.84,Summer,4.0,coastal,Rainy
19.0,55.0,8.5,,partly cloudy,1017.26,Winter,7.0,coastal,Cloudy
36.0,54.0,4.5,,clear,1018.81,Autumn,7.5,coastal,Sunny
29.0,92.0,12.5,82.0,overcast,1010.49,Summer,1.5,inland,Rainy
,74.0,9.5,39.0,partly cloudy,1003.85,Autumn,6.0,inland,Cloudy
20.0,78.0,15.0,44.0,partly cloudy,1004.76,Spring,6.5,inland,Cloudy
11.0,81.0,16.5,81.0,overcast,1016.78,Autumn,3.5,inland,Rainy
31.0,87.0,16.5,84.0,overcast,1004.67,Summer,2.5,mountain,Rainy
13.0,94.0,9.5,90.0,partly cloudy,1019.97,Autumn,5.0,inland,Rainy
31.0,57.0,1.5,23.0,overcast,1007.31,Winter,7.5,mountain,Cloudy
24.0,69.0,8.0,,overcast,1017.97,Autumn,3.0,coastal,Rainy
25.0,60.0,19.0,61.0,overcast,1019.55,Summer,1.5,mountain,Rainy
27.0,76.0,19.5,72.0,partly cloudy,1012.93,Spring,1.5,mountain,Rainy
-6.0,79.0,8.5,87.0,overcast,999.56,Winter,2.5,mountain,Snowy
,78.0,20.5,,partly cloudy,1018.52,Summer,1.5,inland,Rainy
20.0,0.0,4.5,17.0,clear,1014.45,Winter,7.5,mountain,Sunny
33.0,68.0,10.5,10.0,partly cloudy,1016.84,Winter,7.5,coastal,Cloudy
27.0,89.0,11.0,69.0,overcast,1016.05,Winter,1.5,coastal,Rainy
21.0,72.0,10.5,20.0,partly cloudy,1012.04,Autumn,6.5,inland,Cloudy
-5.0,79.0,6.5,89.0,overcast,999.7,Winter,2.0,inland,Snowy
34.0,90.0,15.5,52.0,overcast,1014.19,Spring,2.0,inland,Rainy
-7.0,93.0,11.5,79.0,overcast,993.93,Winter,3.5,inland,Snowy
,0.0,13.5,,partly cloudy,1074.0,Autumn,19.0,mountain,Snowy
26.0,85.0,7.5,62.0,partly cloudy,992.74,Winter,1.0,mountain,Rainy
9.0,93.0,14.5,82.0,partly cloudy,1000.24,Summer,8.0,inland,Cloudy
-8.0,81.0,5.5,,overcast,989.1,Winter,5.0,inland,Snowy
,68.0,11.0,82.0,overcast,990.52,Summer,2.0,coastal,Rainy
-7.0,0.0,4.5,94.0,partly cloudy,998.01,Winter,2.0,mountain,Snowy
17.0,61.0,15.0,61.0,partly cloudy,1018.76,Autumn,1.0,mountain,Rainy
26.0,62.0,9.0,13.0,clear,1012.34,Spring,5.5,inland,Sunny
,0.0,2.5,,clear,1015.27,Winter,8.0,mountain,Sunny
-4.0,94.0,20.0,60.0,overcast,997.5,Winter,2.5,mountain,Snowy
,69.0,11.5,,overcast,1019.41,Autumn,5.5,mountain,Cloudy
-3.0,42.0,3.0,23.0,overcast,1080.12,Winter,6.0,inland,Rainy
12.0,81.0,13.0,,overcast,1007.72,Winter,3.0,mountain,Rainy
20.0,94.0,17.0,67.0,overcast,1019.77,Autumn,4.5,mountain,Rainy
,56.0,7.5,25.0,overcast,1009.36,Spring,8.0,coastal,Cloudy
,,,,,,,,,Cloudy
10.0,79.0,5.0,,overcast,1017.95,Autumn,2.0,coastal,Rainy
31.0,68.0,8.0,,clear,1022.01,Summer,7.0,coastal,Sunny
-2.0,0.0,13.0,,overcast,998.75,Winter,4.0,inland,Snowy
,88.0,7.0,69.0,overcast,990.78,Summer,3.5,coastal,Rainy
20.0,48.0,8.0,5.0,clear,1024.72,Autumn,7.5,coastal,Sunny
,78.0,13.0,,overcast,1011.2,Spring,4.5,mountain,Rainy
10.0,68.0,10.5,23.0,partly cloudy,1013.19,Summer,8.5,coastal,Cloudy
31.0,0.0,3.5,40.0,overcast,1008.57,Winter,8.0,mountain,Cloudy
-10.0,73.0,3.0,96.0,overcast,997.89,Winter,4.0,mountain,Snowy
,59.0,5.0,,overcast,1005.92,Autumn,7.5,inland,Cloudy
44.0,51.0,7.5,17.0,clear,1026.49,Summer,6.0,inland,Sunny
,69.0,13.0,,partly cloudy,995.72,Spring,18.0,inland,Rainy
7.0,98.0,27.0,84.0,overcast,1012.19,Autumn,2.0,inland,Rainy
27.0,69.0,13.0,25.0,partly cloudy,1019.41,Summer,6.5,coastal,Cloudy
16.0,92.0,18.5,50.0,overcast,995.44,Spring,3.0,inland,Rainy
3.0,64.0,3.5,,overcast,986.96,Winter,2.0,inland,Snowy
16.0,69.0,3.0,,partly cloudy,1005.7,Winter,7.0,inland,Cloudy
47.0,0.0,10.5,64.0,overcast,1014.84,Winter,12.5,coastal,Rainy
33.0,65.0,7.0,66.0,partly cloudy,1013.95,Summer,2.0,coastal,Rainy
-7.0,99.0,2.5,,overcast,996.58,Winter,2.5,mountain,Snowy
